RFE_DT,RFE_RF,RFE_XGB,RFE_LGBM,SFM_DT,SFM_RF,SFM_XGB,SFM_LGBM,SKB_CHI,Total,Feature
0,0,0,0,0,0,0,0,0,0,315
0,0,0,0,0,0,0,0,0,0,316
0,0,0,0,0,0,0,0,0,0,318
0,0,0,0,0,0,0,0,0,0,320
0,0,0,0,0,0,0,0,0,0,325
0,0,0,0,0,0,0,0,0,0,327
0,0,0,0,0,0,0,0,0,0,329
0,0,0,0,0,0,0,0,0,0,331
0,0,0,0,0,0,0,0,0,0,338
0,0,0,0,0,0,0,0,0,0,347
0,0,0,0,0,0,0,0,0,0,350
0,0,0,0,0,0,0,0,0,0,227
0,0,0,0,0,0,0,0,0,0,351
0,0,0,0,0,0,0,0,0,0,353
0,0,0,0,0,0,0,0,0,0,359
0,0,0,0,0,0,0,0,0,0,366
0,0,0,0,0,0,0,0,0,0,367
0,0,0,0,0,0,0,0,0,0,368
0,0,0,0,0,0,0,0,0,0,369
0,0,0,0,0,0,0,0,0,0,373
0,0,0,0,0,0,0,0,0,0,375
0,0,0,0,0,0,0,0,0,0,377
0,0,0,0,0,0,0,0,0,0,379
0,0,0,0,0,0,0,0,0,0,387
0,0,0,0,0,0,0,0,0,0,390
0,0,0,0,0,0,0,0,0,0,394
0,0,0,0,0,0,0,0,0,0,306
0,0,0,0,0,0,0,0,0,0,303
0,0,0,0,0,0,0,0,0,0,300
0,0,0,0,0,0,0,0,0,0,297
0,0,0,0,0,0,0,0,0,0,230
0,0,0,0,0,0,0,0,0,0,232
0,0,0,0,0,0,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,234
0,0,0,0,0,0,0,0,0,0,239
0,0,0,0,0,0,0,0,0,0,241
0,0,0,0,0,0,0,0,0,0,242
0,0,0,0,0,0,0,0,0,0,243
0,0,0,0,0,0,0,0,0,0,245
0,0,0,0,0,0,0,0,0,0,246
0,0,0,0,0,0,0,0,0,0,251
0,0,0,0,0,0,0,0,0,0,253
0,0,0,0,0,0,0,0,0,0,264
0,0,0,0,0,0,0,0,0,0,265
0,0,0,0,0,0,0,0,0,0,267
0,0,0,0,0,0,0,0,0,0,268
0,0,0,0,0,0,0,0,0,0,269
0,0,0,0,0,0,0,0,0,0,270
0,0,0,0,0,0,0,0,0,0,271
0,0,0,0,0,0,0,0,0,0,272
0,0,0,0,0,0,0,0,0,0,273
0,0,0,0,0,0,0,0,0,0,274
0,0,0,0,0,0,0,0,0,0,276
0,0,0,0,0,0,0,0,0,0,277
0,0,0,0,0,0,0,0,0,0,278
0,0,0,0,0,0,0,0,0,0,284
0,0,0,0,0,0,0,0,0,0,288
0,0,0,0,0,0,0,0,0,0,290
0,0,0,0,0,0,0,0,0,0,291
0,0,0,0,0,0,0,0,0,0,855
